BPEL,TS,ENDSYSTEM
SendMdsUpdateFeedback,ValidateUserService,LDAP
SendMdsUpdateFeedback,SendMdsUpdateFeedbackTS,IDB
CreateUnidialUser,CreateUnidialUserTS,IDB
CreatePartsRequest,ValidateUserService,LDAP
CreatePartsRequest,PartsLookupTS,Maxim
CreatePartsRequest,IntegrationDBTS,IDB
RetrieveAllocationListService,LDAPUserSearchTrigger,LDAP
RetrieveAllocationListService,RetrieveAllocationListTS,Maxim
CreateQualityWorkOrder,LDAPUserSearchTrigger,LDAP
CreateQualityWorkOrder,CreateQualityWorkOrderTS,Maxim
ReadTechnicalRequest,ValidateUserService,LDAP
ReadTechnicalRequest,SMSTechnicalRequestTS,CRM
UpdateServiceReference,ValidateUserService,LDAP
UpdateServiceReference,SMSServiceReferenceTS,CRM
ReadWPResolution,ValidateUserService,LDAP
ReadWPResolution,ReadWPResolutionTS,IDB
ReadWPResolution,IntegrationDBTS,IDB
ReadAdditionalCost,ValidateUserService,LDAP
ReadAdditionalCost,SMSAdditionalCostTS,CRM
PartsLookup,LDAPUserSearchTrigger,LDAP
PartsLookup,PartsLookupTS,Maxim
ReadDocument,ValidateUserService,LDAP
ReadDocument,ReadMaximRetailerTS,Maxim
ReadDocument,SharePointTS,SharePoint
RetrieveDocumentList,ValidateUserService,LDAP
RetrieveDocumentList,ReadMaximRetailerTS,Maxim
RetrieveDocumentList,SharePointTS,SharePoint
GetJobStatus,ValidateUserService,LDAP
GetJobStatus,OnTimeTS,OnTime - External
GetJobStatus,GetJobStatusTS,MAXIMMAI
GetJobStatus,GatewayLookupTS,MAXIMMAI
GetFlashFileAnalysis,ValidateUserService,LDAP
GetFlashFileAnalysis,SharePointTS,SharePoint
RetrieveSubscriptionList,ValidateUserService,LDAP
RetrieveSubscriptionList,RetrieveSubscriptionListTS,IDB
ReadDocumentProperties,ValidateUserService,LDAP
ReadDocumentProperties,ReadDocumentPropertiesTS,IDB
UpdateSubscription,ValidateUserService,LDAP
UpdateSubscription,CreateTPRetailerUserTS,IDB
CopyCarOrder,ValidateUserService,LDAP
CopyCarOrder,CopyMAICarOrderTS,MAXIMMAI
CreateCustomerConsents,LDAPUserSearchTrigger,LDAP
CreateCustomerConsents,CRMContactListTS,CRM
CreateCustomerConsents,CrmCustomerConsentsTS,CRM
AloaAuthBP,ValidateUserService,LDAP
AloaAuthBP,AloaTS,ALOA
AloaAuthBP,VehicleSecurityUserDetailsTS,IDB
UploadSupplierList,ValidateUserService,LDAP
UploadSupplierList,EmailSender,Email
UploadSupplierList,SysProSupplierListTS,SYSPRO
ChangeCustomerOnOrder,LDAPUserSearchTrigger,LDAP
ChangeCustomerOnOrder,UpdateCarOrderTS,Maxim
ChangeCustomerOnOrder,CRMContactListTS,CRM
ChangeCustomerOnOrder,TransferOrderTS,Maxim
ChangeRetailerUserStatusService,LDAPUserSearchTrigger,LDAP
ChangeRetailerUserStatusService,LDAPUserUpdateTrigger,LDAP
ChangeRetailerUserStatusService,CRMChangeEntityStatusTS,CRM
ChangeRetailerUserStatusService,CRMContactTS,CRM
ChangeRetailerUserStatusService,MaintainRetailerUserTS,Maxim
CreateAdditionalCost,ValidateUserService,LDAP
CreateAdditionalCost,SMSAdditionalCostTS,CRM
CreateDocumentFolder,ValidateUserService,LDAP
CreateDocumentFolder,SharePointTS,CRM
CreateDocumentProperties,ValidateUserService,LDAP
CreateDocumentProperties,CreateDocumentPropertiesTS,IDB
CreateInterCompanyPayClaim,ValidateUserService,LDAP
CreateInterCompanyPayClaim,CreateInterCompanyPayClaimTS,Maxim
CreateInterCompanyPO,ValidateUserService,LDAP
CreateInterCompanyPO,CreateInterCompanyPO,Maxim
CreateServiceReference,ValidateUserService,LDAP
CreateServiceReference,SMSServiceReferenceTS,CRM
CreateServiceReference,SessionFeedBackTS,IDB
CreateTechnicalRequest,ValidateUserService,LDAP
CreateTechnicalRequest,SMSTechnicalRequestTS,CRM
CreateTechnicalRequest,SMSVehicleTS,CRM
CreateTechnicalRequest,CRMTS,CRM
DeleteAdditionalCost,ValidateUserService,LDAP
DeleteAdditionalCost,SMSAdditionalCostTS,CRM
GetCostsAndTime,ValidateUserService,LDAP
GetCostsAndTime,GetCostsAndTimeTS,IDB
GetCostsAndTime,CalculateCostsTS,Maxim
GetMdsWorkPackages,ValidateUserService,LDAP
GetMdsWorkPackages,SMSVehicleTS,CRM
GetMdsWorkPackages,SMSWorkPackageTS,CRM
GetMdsWorkPackages,ReadCodingInfoTS,Maxim
GetMdsWorkPackages,GetMDSWorkPackageTS,IDB
GetMdsWorkPackages,SMSServiceReferenceTS,CRM
